First name,Last name,Email,Address,Phone number,Grade
John,Gardner,ftyler@example.org,"2687 Maria Corners West Johnchester, CO 40311",969-995-6340x3174,65
Brian,Stephens,dwilson@example.org,"383 Wayne Islands Apt. 167 North John, DE 39076",001-426-846-4971x4633,77
Amber,Taylor,tbrady@example.com,"6209 Davis Inlet Apt. 703 Port Mauricetown, VT 01123",670-587-6270,69
Frederick,Davis,barrettbilly@example.com,"825 Hughes Harbors Suite 916 Lake Amandaburgh, OH 77222",738-976-3152x188,66
Kimberly,Elliott,efitzgerald@example.org,"79053 Lisa Village Apt. 589 New Johnny, OH 93153",209-558-9218x3849,93
Kristine,Bell,coxcassandra@example.org,"6377 Kristine Junctions Apt. 988 New Jonathantown, NM 05036",480-988-2841,85
Hannah,Mejia,sean44@example.net,"4567 Courtney Trail West Anthonyland, PA 99562",628-498-0837,74
John,Smith,natalie55@example.com,"8321 Garcia Ranch Suite 000 New Paul, ID 37232",210-445-2967x54473,93
Marcus,Goodman,joseph25@example.net,"107 Nathan Points Apt. 574 Carterburgh, LA 63103",465-847-3801x21096,98
Jennifer,White,danielbutler@example.org,"21600 Baker Hill North Michaelport, NV 47637",315-681-1646x575,80
Julia,Wilson,mallory48@example.net,"65620 Alvarado Radial Apt. 113 Davidsonport, RI 13394",+1-671-818-9064x09903,70
Jordan,Bishop,jesusrogers@example.org,"199 Eric Manor Suite 752 Mosston, AZ 36465",268-713-2040,75
Amy,Johnson,bmedina@example.com,"0550 Jackson Rue Suite 707 Amyland, WY 94402",867-485-6311x833,82
Mark,Lee,andre59@example.com,"2091 Shane Plains Henrybury, WI 47945",443-495-7422,80
Sara,Daniels,christopher10@example.com,"387 Daniel Parks Apt. 414 West Patricia, WI 76326",964-232-0088,80
Tammy,Lewis,jessica15@example.org,"22068 Cisneros Camp Suite 109 Cooperhaven, NE 77770",001-549-760-0748x55194,93
Steven,Johnson,melissa43@example.com,"29978 Jackson Ports Suite 753 Meyersfort, AL 18533",001-924-461-5961x0098,97
Kevin,Fitzgerald,robertdodson@example.net,"4285 Yates Brook Suite 216 North Micheleland, DE 60110",788-872-5146,65
Erin,Higgins,ustanley@example.org,"47718 Warren Knoll Suite 211 Tinastad, WA 23486",001-998-848-2317x781,64
Cynthia,Watson,gainesmeagan@example.org,"018 Mendez Throughway Apt. 909 West Annabury, NV 80163",802-809-9738,87
Scott,Grant,juan56@example.org,"717 Fox Rapid Suite 908 Port Louis, MI 34571",+1-707-760-3383x3292,87
Thomas,Clark,liuclifford@example.org,"0965 Webb Lake Suite 077 Zavalachester, NE 51622",1-226-447-7917,67
William,Mejia,cmorrison@example.org,"878 Anthony Plain East Brandy, SC 37193",577-531-4048,88
Benjamin,Rodriguez,brewercathy@example.net,"404 Dana Mountains Apt. 159 West Charles, WY 82154",593-582-5069,62
Arthur,Moore,joshuabryant@example.com,"3001 Carl Summit West Patrickberg, NJ 93774",230-337-6431,87
Tiffany,Nichols,johnsonwilliam@example.com,"65772 Hall Crescent Apt. 271 New Steven, MI 89081",001-305-443-5387,73
Crystal,Gutierrez,hashley@example.net,"03395 Ebony Key Apt. 964 Lake Andrewbury, LA 04695",+1-968-958-7904x094,92
Kristina,Smith,lawrencejacob@example.org,"2767 Eric Avenue Lake Jasonborough, AR 48157",631-527-8317x91689,75
John,Allen,melissa84@example.com,"33869 Christine Path Apt. 091 Carlsonmouth, SC 27631",001-793-425-4585x10961,97
Kristen,Wheeler,plowe@example.org,"545 Victoria Track Apt. 643 Robinsonburgh, NV 93157",698-335-1644,78
